polarity,text
0,"Ok... so 2 hours into the self imposed shopping ban, and i am already aching for a shoe fix...this is going to be harder than i thought "
0,My whip cream is melting 
0,I was woken up by my mom. now i cant get to sleep. 
0,"Lonely bed, no husband. "
0,"Why is it that I have 46 followers, none of whom acknowledge me? "
0,Stupid m&amp;ms make my stomach hurt 
0,Best monday ever. Missed gossip girl.  Oh well. Spent time with BFF today! Wonderful Night! xoxo
0,@pilvlp My luck I'd probably get stopped by a cop or something stupid!  
0,Sitting at home and im very bored   keep hearing really weird noises downstairs. Kinda creepy
0,Let us know how he's doing ok? 
0,"@Kailuh Dis guy was talking about his brother's cock, and thats all I feel like talking about   EWWW  You can figure out the rest."
0,my birthday today. feel so old 
0,@Amelia_Torode Have fun shopping ... but bear in mind the horrible forex truth  http://bit.ly/kHBN  
0,ok my TWEET PEEP i must head to bed now...Got to take a test in Law tomorrow  ...is it summer yet?  anyway much love and HUGGERS
0,working on my lab report that's due 2359hr tonight. 
0,I am awake now because of twitters! I was just dozing off. . . 
0,"@jillglavan soooo disappointed your T.I. party is when I leave for Vegas. I was so jacked up when you first talked about it, now nothing "
0,"@runawaystarling unfort, msn is a douche and a half to me "
0,i have to butting poop again 
0,@oinker_aida i agree! 
0,all these crazy pollen trees in Washington state are making my sinuses go crazy 
0,Stupid 3 year project! feels like you've conquered something then you realised it's only 1 year down 
0,@jdpeterson  hope you feel better. why cali?
0,I need to go out but I am so lazy. 
0,@laurenlenewx awww i'm sorry 
0,Woo for three pages down and seven to go...why in heck do I procrastinate!  Goal #1 for Grad School DO NOT WAIT!!!!!
0,"morning all. So tired today, should've stayed in bed "
0,off to town. forgot to charge my phone so don't think it will last all day 
0,why must I be awake at this untimely hour 
0,"i dont want to go to school tomorrow for an exam, after having one and a half weeks off "
0,"@Kal_Penn The thing that sucks the most is that you were the one I was most excited for, even before I knew who the final team would be. "
0,I can't sleep.  It's too windy and scary out.
0,@darylsws kids are on holidays 
0,summer camp or summer school?? Both are boarding lol. 
0,after 2am and i'm still sniffling and sneezing. can't sleep. morning is going to come way too early 
0,these guys who is Bill Gates's associates makes me feel like I know nothing!!! I don't even know my name now 
0,"Oh no!!!!!!!!!!!!! @AzPPA just sent email for State convention...May 17-18 &amp; there was Papyrus all over it. Sad, b/c I wanted to attend! "
0,@pelf81 but work is demanding for so much more 
0,watching greek. cant believe its the last day ill see you guys.  june 20.... ahh.
0,Is back at the cabbins  Ew!
0,terrified by the news from Italy  http://tinyurl.com/dhdpne
0,@lili_marlene Ohh that sux 
0,@brainiacmathew i know!  and im on spring break
0,is extremely hungry 
0,It's going to be a loooooooooooooooooooooooooooooooonnnnnnngggggggg night at work 
0,@Jennchambless me neither and nobody is awake... NOBODY. I'm drunk and alone 
0,"@dark_butterfly Not just you. I thought he looked paler, too  Probably from drama filming. Jun looks healthier than ever, though."
0,.. sad to hear about the discovery of the little girl from Tracy. Her poor family 
0,just what am I supposed to think? 
0,Why do I keep working for places that DON'T do the Cycle2Work scheme. 15% disc at Halfauds is good enough. 
0,"In office, doing irritating work for the worst client i've ever had. You cant choose your project if ur an employee.  "
0,at wye river.. It's really cold! This internet is really expensive 
0,Jammed my finger and it hurts really badly. 
0,DAMN- my PC has COMPLETELY given out  this sucks ...
0,I just let my EverQuest 2 subscription lapse. Just don't play it anymore. Don't have the time 
0,"had a flu shot at work, now my arm hurts "
0,@heidimontag I love the hills but I missed the show tonight 
0,@JesMayhemWA Still trying to sell the prelude? 
0,"@katsun At this point, I'm trying to remain optimistic that it won't be as delayed as Live365 but it's getting harder each day "
0,Twitter is down? 
0,@Kal_Penn OMG I am so mad! You were my favorite character  I'll miss 'you'
0,Wishes David Cook was coming to phoenix  trying to figure out a way to get to San diego on June 18th to see him.... I'm obsessed
0,ill make fresh start.. i promise...    xtra sad puppy face...
0,"A beautiful morning - the sun is shining, the birds are singing, I've just been playing Mousetrap with the kids... damn, now work "
0,"@AHolmes_NJ I was able to DownThemAll! before TA was able to delete my account. Didn't lose any photos, but I lost almost all comments "
0,@thisisguan 
0,"Tuesday is a raining day, again "
0,Has a huge headache but gotta go to work 
0,"@ACTinglikeamama Oh, you have a recipe for gyros? I developed an addiction in Germany, and haven't been able to find any I like in Aus. "
0,Still feel feckin arseholed...a sign of old age me thinks 
0,"@SukottoXD I saw ice in the rain today. Not quite snow, but frozen water, nonetheless. "
0,@charp I was being all nerdy &amp; thinking they could help me with my Metropolitan Area Network 
0,tired but cant sleep............. 
0,@JBeauty lol   GOODNIGHT
0,I'm laying in bed facing the wall and trying to relax but I'm hearing so many things plus the air conditioning sound is so louad 
0,Someone needs to give this baby a home!!! I would but it's a bit too soon  http://tinyurl.com/dzbppd
0,In bed. Finally!  Long day tomorrow 
0,Cant sleep. Ugh. If this is going to be a trend i.ll need to find something to do with my wakeful night hours. Read? Learn a language? 
0,Airlie is  sick   and now Mason is sick Too. He is going to miss his school disco 
0,Our trip has been canceled. See the latest blog post for info  http://kiwinova.blogspot.com/
0,Just saw 1 little and 1 huge stingray in foot-deep water off catseye beach at low tide. No turtles yet.  
0,Have to update my picture cos I look old and fat.  Oh I am old and fat  playing badminton is not working on weight 
0,Just saw some snow flakes 
0,"lol, honeybaby, i sound like a ny-quil commercial. that word only looks right with a green background. i want to sleep but i can't "
0,"Feeling soree, bad idea to go running when your sick "
0,T___T need more sleep but my body wont let me  so i will draw instead  &lt;3
0,"@30SECONDSTOMARS: Thank's for your prayers, these days are very difficults "
0,@vanidosa27 What's wrong? why do you need an inhaler? I didn't even know you were sick  Hope you start feeling better
0,"@eri74 Goodmorning!  hahaha, let me guess .... CB? hahaha me not "
0,"Doesn't know why, but is feeling very down. And a trip to the gym didn't help "
0,Computer/internet is hating me tonight... I swear. And I can't find my USB cord for my sidekick 
0,Taking Angus for a check-up today. I always quietly dread it but this time he's poorly so I know the lung function tests will be crap. 
0,@grahamcracker  If only you were working in the Melbourne Victoria Police Department or the Melbourne City Cabs. 
0,doing homework...  
0,has realized that twitter is getting more attention from her mama then she is....hahaha  LAME!
0,"@m0nkfish Eww. Hershys kisses are ok, but not amazing "
0,whoa im super hungry  Life cereal w/granola &amp; raspberries is calling my name
0,wants to go to easterfest 
0,Really let down by gossip girl...it's all I have to make my Mondays good and all they give are reruns... 
0,am trying to fit all my stuff in a tiny bag so i can take it on as hand luggage. dont think its gonna work 
0,"@sunky being a grown up is horrid, isn't it "
0,@SEAF2009 I am strongly considering improvising. I missed last year I was so sick. 
0,@innocentdrinks COKE!? 20% minority stake? Really? Not April Fool? Can you give it back? So depressing. You were a favourite brand. Sad 
0,has just said goodbye to her hubby who is off globe trotting away 
0,@ChauV I has so many things to do 
0,@bkGirlFriday dude it snowed here today...cant imagine the weather in hawaii right now 
0,"updating my myspace profile, i need more followers coz its a bit sad only to have one "
0,"when you read my updates, blogspot, bulletin on myspace, etc. You could just figure it out on your own. I don't care "
0,@thelmarockz thelma I can't see shiz I see blank and me and u comments 
0,"Back at :work, have to go to ::Zeist in a minute. But want to stay here to do some work "
0,I thought you could buy Silent Hill for the PSP on the PS Store? I can't find it anywhere? 
0,Doing my taxes. Not in the best mood because of this 
0,I am not a fan of sleeping alone  baby boo
0,"I NEVER THOUGHT THAT I COULD  HATE SOMBODY, BUT I REALLY HATE YOU �TOBE D....�, I ONLY GAVE YOU ALL OF MY LOVE AND YOU  PAY ME SO BAD! "
0,@tommcfly hey saw u guys play @ pushover..didn't get 2 meet u tho cuz of th HUGE line  i was very upset ='( lol..a msg would make up 4 it!
0,Going to sleep now. Johnny just died on the OC. 
0,again with the fucked sleep... ive decided to go do homework instead 
0,@OscarTG Morning. No sun here unfortunately 
0,I need a holiday  only one day off this year.
0,@stephenkruiser sorry to hear about your dog. 
0,@trash_kitten  solution will be found!
0,Got to do Spanish revision today 
0,has a cold from playing outside yesterday 
0,why does stik-o have to be chocolate?! 
0,I need SIMS 3. Gaah! 
0,is listening to an awesome song but i dnt no the name but i wanna upload it on limewire!!!!! 
0,@Linda_James Im not a morning person! Never have been  prefer the night!
0,"@smaffulli correction: they don't tell you, but a cert. is there. How you can use it is a different matter, and without Win yet another! "
0,"@ktml I think its iTunes fault I cant download it on my Mac now &quot;store busy&quot;   if you got it, anything awesome in the camerakit update?"
0,@KateriH How was the TJ dinner tonight? My freezer melted down. 
0,@martiy ouchies.    have a good day .......and goodnight @SuperTim.
0,@geoffmartinez youre going to be in mexico on easter?  why?
0,Early Twitter Buzz: Star Trek Has Secret Premiere in Austin - http://is.gd/r9vr Holy crap! Wish I was there... 
0,i think i'm getting sick.  
0,happy birthday jaime. loveyou&lt;3.     ...officially screwed right now. midterm. quiz. 2 projects. and 300 page book. shoot me. please. 
0,revising my essay and talking to my hubby on aim 
0,"@LizDinkel lol, I figured as much...but you never know. We don't talk anymore, maybe you became easily offended... "
0,"traffic not as bad as normal, so super early for meeting "
0,yo that was hella weird my twitter got deleted 
0,They don't get hyphy on the east coast  ...even to E40
0,"Perfectly ripe and fresh banana goes in the bag.. Arrive at office, it looks like it has been hit by a freight train. Poor banana "
0,home. mc. bored. missing him. who? him  sigh. im bored. tadi exam &amp; was okay. thursday lagi exam. gaaaaaaaaaaaaaahhh!
0,rufus rufus rufus! Bloody Brillaint!!!! Shame my mum is such a miserable crab or i could liten to him while i work 
0,me and @maddeh are so in sync that both of our stummics hurt right now 
0,studying commerce  how am i suppose to remember so much????
0,....it's just fever... 
0,cuz like troybolton is the hottiemcsuperbob. omfgz. my nail buds  - cries -
0,"Arghh! My hands are itchy!! Could it be that on top of my 'alergy' to beef, I also cannot eat chicken no more?? "
0,I cant sleep. Missing the person I love most for the past 7yrs of my life. If only... 
0,Time to get me ass in gear and start the day 
0,Should really go to sleep so i can get up early tomorrow (well today now) 
0,Fairly certain I have the flu. 
0,I'm going to put myself out of this misery and go to freakin bed.  Ugh 
0,is again in the math lab 
0,i don't wanna leave CO! 4:15 am is coming too soon!! 
0,"@brightillusions  only one to fill that position. They've just tightened our borders or something  Which sucks, I want you to move here!"
0,"Where the magic happens every month LOL Sophia did a terrific job, as usual! What am I gonna have for dinner?  http://twitpic.com/2y5bz"
0,@jmielcarz send some of that warmness my way.... it's cold 
0,Power to levitate?.... still negative. 
0,Trying really hard not to get sick from all of the stuff I just took to get rid of my cough. 
0,back from the casino a big fat loser! 
0,Even a four day week seems too long  I want to stay in bed!
0,@theajp Glad you enjoyed it mate. Any more gigs lined up in the near future? None on the horizon for me at the mo 
0,isnt feelin 100% 2day 
0,going to watch julian play bball. i want phoebe 
0,@DuncanMacrae hmmm well good luck with that.....  
0,just got a denied letter from bazaar bizarre. sad. i was looking forward to a road trip to be a vendor there 
0,Now even more annoyed with Bones. I would have preferred the gratuitous grossness. Poor Angela 
0,"@OnlineMigration me too!, although im still going  hehe"
0,I am layin in bed @ 3am cos my tummy is beatboxn so bd so I hd 2 wake up. can't eat. Unburnable calories nt gd for my &quot;abs&quot; I am hungry! 
0,Bed... Work in am 
0,No rain please 
0,@gabysslave thanks - you too! I have an essay to write 
0,"Fuck! Len Wein's house caught fire earlier today. The family is safe, but they lost their dog. "
0,thinks factorial designs are going to be the death of my test &quot;A&quot;.  Who comes up with this confusing &quot;mathy&quot; stuff?  Ugh 
0,@schnicklefritz OMG! I have the same problem! I lent it to someone and they never gave it back!!! 
0,"@friendlypharm  too bad it's true, for the most part "
0,@THEcamacho danm I wanted to hear that studying sucks 
0,YAY hannah montanas on disney channel fun ......NOT 
0,all the photos i try to upload are too big 
0,Somewhere in the world right now the sun is shining and people are busy...but not here 
0,@Labrys67 the chat broked? 
0,@ruthclayton oh i aint gonna be ur bitch  but i will be HIS.. muwahaha
0,Caught myself looking up the iphone. Promised I wouldn't torcher myself as I still have 6 months left on my current contract 
0,Goodnight everyone. Well I'm not feeling much better and I'm going to the doctor tomorrow.  
0,@cardinaire ya me too 
0,Blimmin' heck i'm slightly tired! And i still didn't see no Otalia 
0,"im going 2 bed nowww - surprising??? Not rly, i have school 2morow, thats right, my spring break days r over "
0,Wants her camera back! 
0,first: UNC DOMINATED!!!!!!!!!!!!!!. second: the hills is back (hallelujah). third: econ paper? gaussian copula is def. NOT that deal 
0,Is physically tired but can't sleep 
0,tks pa 4 &quot;tapauing&quot; croissant tuna knowing dat Ive back-to-back meetings since morning  &amp; Zuraidah tks 4 buying my FAV STARBUCK MOCHA FRAP
0,"@RussyRhubarb A new twitter name without telling me? Boo. By the way, I think Oberon is dead  Haven't seen him for ages..."
0,"@jeffsmithcars Why would you want to send traffic to that page?  At the bottom, you say you're not done  "
0,@arielehenriques Why do I feel like your preaching to me? lol damn I'm guilty 
0,"Looking at it, I seem to be getting a completely different config.. Finding shared hosting hard not having control "
0,TV w/charley she is too cute and too sweet...trying to get over the blues  cheer me up tweeters
0,@Djteck Mean 
0,While I do enjoy my job very much. Its always nicest outside when I'm indoors 
0,morning everyone!! still feeling poorly!   hope u all have a good day! x
0,contemplated going out for a post-midnight walk but still have piles of work to get through 
0,oh em gee. this is love http://tinyurl.com/djjc46 want want want! lusting after things i cannot afford. 
0,Everything is still broken! 
0,Mir every single morning I feel sick 
0,i had 7 hours of sleep and now i cant go back to sleeping  im thirsty
0,@indiblogger  do i neeI dotn get any comments and suggestions 
0,"My peace, quiet &amp; stress freeness is bout to come to an end "
0,"found my Sana...and has realized, that just like a white girl, I eat my problems "
0,In work  sooo bored !
0,"@MissElizabeth Food allergies suck!  I became allergic to shellfish about 4 months ago out of the blue, and I used to love shrimp.  "
0,@d_TRIX my mom just had a root canal also...i feel your pain buddy! 
0,Not even 8.30am and there's far too much noise in the office   Should have worked from home today.
0,"@louislucci I usually only sleep 4 hours a night or so.  Going to bed now, have to get up at 5am "
0,@tommcfly Good morning Tom! Why can't I send you a message? This is too short for the question I have  Well to bad for me I guess..
0,"Guess what? My Dad is PREGNANT!!! lol nah, the doctor does have to give him an epidural for his chronic back pain, though. "
0,"@josordoni yeah it was good news, a y combinator interview next week! dunno bout the oyster, will just suck it up I guess "
0,@Sir_Almo it wont let me play DOH keeps saying user not valid 
0,@eNiBeNi i would if i knew them  ed si que se duerme temprano :S
0,@valonthecoast LOL awwww....I'm sorry you're stuck n bored...Yes hun I thought you be trying to keep yourself entertained...can't be easy 
0,@Jamzeee I knowwwwww I sukkkk !!....   .. Take care of my gurls ...
0,"@Kal_Penn arrrggghhh, and I hadn't seen last night's episode yet! Pity to lose you, though. "
0,Early morning meetings 
0,@infidelsarecool ugh how depressing.    i want to punch something.
0,I STILL don't understand how to setup subversion for a website 
0,@imperiusrex Brahbrah. Ugh. Bed in a hour. 
0,"@joshsharp no money yet, i dont know anyone who has  maybe its all just a lie!! hes having us on so we all like him a little bit more lol"
0,"sat at work  Not fair, so not fair"
0,Whoh what a day... Now for the shut part... Hydraulics assignment time 
0,oh wtf @ house. NOT COOL. 
0,Brain Hurty Squishy Mess 
0,@vomitto ahh ai dreptate Pixar 
0,woke up too early 
0,watching tv. trying to sleep. not working. 
0,@lisalent As part of Freeview? We don't get the sports channel 
0,No way I'm gonna sleep tonight 
0,No TravoRadio this morning. BlipFM is down. 
0,@DTizzler and it took me my entire walk to the train station to undo it 
0,@amyg0716 thats really sad  i wolud hate that! but i had choco milk earlier =D lol
0,"I have had an allergic reaction to my contacts, stuck with my specs until it clears up. Means and end to my breast feeding tho "
0,wow my x60s is dead 
0,just finished cooking spag bol from scratch.. in other words been cooking for the past 4 hours! i'm not hungry anymore 
0,trying to write dssertation 
0,@ilovedt that's what I thought. Bummer! 
0,".. This response from Support is blatantly untrue, fake accounts are shut down all the time!  And it contradicts their own Terms too.  "
0,Oh noooooo Kath is back from Annual Leave!!!!!  du du duuuuuuuu!
0,@Kal_Penn thank you for being a great character on House! I'm sad to see you go! 
0,@babyporridge I didn't get your 'Twitter is crap' reply 
0,"Dad was admitted to hospital yesterday, so want to fly to Cape Town to visit... R1900 for monday return ticket on #Kulula "
0,Haven't tweeted in ages my twitterberry doesn't work anymore help! 
0,I don't like these late start night shifts coupled with it being bloody light outside my window when I'm meant to be going to sleep 
0,Longing for yesterday 
0,i want a guy like carmello or jimmy 
0,@_laertesgirl Sorry to hear that.  Anything specific? x
0,ha ha ha   damn i had  such  good  time chillin wit  my  favorite hizzo  danced my face off @ the lodge never made it to backbooth  ..
0,Work today 
0,@EvilUnicorn im not on aim rn 
0,"I accidentally put sugar in my food instead of salt, so now I'm eating sweet fried rice  My clumsiness astounds me sometimes!!"
0,Why don't the hot guys from my gym get on my train in the morning? It's always full of dullards 
0,Another sales pitch today for a potential #surface customer. I do more sales than development these days 
0,"Downloading the torrent of last night's SYTYCDA, where my love BJ was tragically (but predictably) eliminated "
0,Waiting for an update about my car. It's in the shop again! 
0,Bored from doing homework  What is pingping doing?
0,"The worst part about laundry is: the longer that you wait to do it, the more unpleasant it becomes. "
0,"@ZappoMan oh, your tweet was about weapons? That's covered by Pandora's Box - can't uninvent it, leaving us all with MAD "
0,FUCK....I CAN'T SLEEP 
0,"@reznik360 @bonbonfire another fun confab, no matter what comes of it. i wish i hadn't worked until 9. i'm gonna miss next week, though. "
0,is sooo proud with her bro! huhu.. he's so talentfull.. i wish i could do best like him.. 
0,i'm missing my best friends. I miss our fun times together. I love you guys and i miss you so much  
0,Done with homework. Sneezing  but feeling better! 28 days
0,Passed out last night while mum was puttin cream on my.tattoo 
0,@PrinceDavey aww no invite??  lol jk. coolness for the day off!
0,@BobbyLy Nah gentlemen. I got class at 8AM on Wednesdays.  But thanks anyway!&lt;3
0,@PhillyD Awe it always sucks when you cant sleep in your own bed  Hope your dad gets better he is in my prayers .
0,Note to you all: don't go to the choclate bar @ schiphol!! it is passengers only 
0,didnt hear from my hunn today 
0,@getvisible journalists are up there with ambulance chasing lawyers in my reckoning 
0,"Good morning world, couldn't sleep tonight  Copenhagen doesn't want to leave my head..."
0,Flo rider has sampled that blue song he messed that song up for me 
0,@devakishor Oh oh! That's sad! 
0,i had a extravagant yet time conserving plan lined up for today.......which ive now forgotten 
0,@iwouldificould How have you watched it? I tried the youtube link but it won't work! 
0,missing my boyfriend  who im on the phone with but its just not the same TWEET
0,wont get any rudd money   for those in doubt... http://calculators.ato.gov.au/scripts/axos/axos.asp?CONTEXT=&amp;KBS=ESB.xr4&amp;go=ok
0,@RebeccaMayne That does sound boring as hell becs 
0,is sad because there was another earthquake in italy.. 
0,@wilshipley  I am sad... the Dutch localization in DL2 is bad... it's incomplete and has too many truncations...
0,@Codylfriend - you're not sweet 
0,@disobedientgirl wonderful.. I ll be slogging at 9.. you get up at 9 eh.. 
0,@MrBigglesrox hey emily you lie!!! meanie   
0,@Pauliwhirl OMG WHINE WHINE WHINE WHINE HOUSING LOTERY IS OVER STFU I HAD TO EXPLAIN TO QIDONG THAT HE WAS FUCKED. 
0,I stayed up too late. Didn't get the design done like I wanted to 
0,Allergies playin up like mad today 
0,Planting a friend today.  Not been to a funeral in &gt;20 years.
0,No music today. Blip.fm is undergoing maintenance 
0,@anyshalyke oh you went clubbing without me   lol next time we can do it together
0,JUST realized im talking to no one... 
0,@jacvanek What a sad thought if it isnt!  &lt;3 CC
0,"doesn't want to go to school tomorrow. it's the last day, but it's also twyla's day off "
0,@bavster_twit u can't sip crap vodka! Nope not done #c25k got ominous knee pain - not good 
0,Off to the doctor's today emily has a rash which looks like the measles 
0,@shantelleb so has mine 
0,@Aiiane What's wrong with being an attention whore? 
0,on the coach  gonna be fun!
0,Misses Rach already 
0,@DeiondraSanders I'm always up late. I wish I was a morning person but I'm not 
0,AHHHHHHH! Everyones doing laundry except me 
0,boxee now has Pandora. Useless to me here in Oz. Boo hoo 
0,i hurt my leg! 
0,"@timvansas no, not yet   But also need to finish the rest of it ;)"
0,@seanporter thank uuu! i know i heard youre in dallas 
0,Downy weather  Where's the summer?
0,@KarsentheSlater I'm getting pissy lately - I know I make mormon jokes at you - I'm sorry. I hear mormon jokes now and I feel bad. 
0,"Also, I realize that sounded a tad drama-queen, but I haven't been sick in YEARS. It's hittin me hard this time "
0,Okay I'm sorry that was mean. I'm not nice 
0,Craaaaap. My Macbook Pro is kernel panicking a lot now. I think I'm going to be forced into an upgrade sooner than this summer 
0,pose ta b goin ta AZ dis week  i hope lol
0,"Well that made me sad, i sat down to watch tv, and then remembered i dont have cable anymore.  Lol."
0,@1an3 thank you!! I have to now do it all again today 
0,Had a lovely day at the beach followed by dinner with a gorgeous lady ;) roll on the work today  Booo!
0,"@TyJaneTrev i agreee! clearly they only want attention, SORRY I COULDN'T CATCH THE TRAIN MATEEE "
0,"i got smoke in my eyes, now they burn "
0,"Loves what #drupal file framework module could do, but is sick of Bitcache errors making it impossible to upload files "
0,i feel lonely today.... 
0,@hebb I wish I could go to bed... 
0,Haha my house is creepy at night!!  It creaks and stuff..scary. lol..I'm gonna go to bed.
0,can't upload my pic 
0,ah..I hate flu..now its third day. guess what happened accidently I shaved my eye brows off. I need glasses 
0,@zackdft but i like reading the bullshit! 
0,im so confused  This SUCKS!!!!!
0,has to study math 4 econ but isnt in the mood 
0,"@MissCassandra StiLL on my &quot;Lions &amp; Tigers &amp; Bears&quot; shyt.............  but GOD is gOOd consequently, I wiLL be tOO"
0,why do other people get replies 
0,"Damn stiff neck, day 2 "
0,@djginaturner no le gusta house of house 5 min intro 
0,Missing the fab five 
0,@marcellariley it was a repeat tonight for Gossip Girl 
0,is losing her hubby for a week tomorrow for work.  Easter and all 
0,@HoptonHouseBnB I'm thinking of getting my old FM tuner from the garage as I'm having problems when my PC just stops playing audio 
0,i want my money from kevo to hurry up 
0,Anybody willing to help me??? I've been trying to make a sad tune on the piano for a new song but it always ends up happy and bright  ???
0,@bursaar Good for me. I haven't gone to bed... 
0,baking oatmeal + chocolate chip cookies to make me tired.  i can't sleep 
0,and so the editing of 3000 wedding shots begins 
0,my facebook is Fucked. 
0,@KellyShibari i thought i saw you there! you were walking out the door when i saw you. 
0,@derek319 @shwe370 sweet! That was fun... Except it stretched my browser... And I was watching Twit! 
0,Ads not yet appeared  Google Adsense Team said it may delay 48 hrs on http://womenissues.info
0,tired  i need a regular 9-5
0,my dog is in my room SNORING! 
0,Going to sleep... hoping to wake up and tommorow will be Wednesday instead of Tuesday... I really don't want to go to work 
0,@wtfanabel nite!! I still cant go to sleep. 
0,Im such an insomniac this week 
0,@alissa_rules Basically.  I feel like I need to take better care of myself after seeing that fool.  No more juicin' for me 
0,still spitting out stitches from that bone graft 
0,hooray for the ever so reliable signalflare server 
0,"Well that was a fun nights work, now to start the working day "
0,Sleepin. @skankityspence halo tonight before you leave 
0,@Schofe not off the side of the bridge I hope? 
0,watchin.. I'm not there. and missing heath ledger 
0,"@Indigored_hot  sorry your day was a waste, hope you found some good bits in it and YAY you are homeward bound."
0,"@awillert  im so jealous..i want salsa, but the cookies were AMAZING!"
0,blip is &quot;under maintenance&quot; &amp; i'm goin' through withdrawel 
0,"@MadNinjaCurl hey neighbor, neither can I "
0,@msJodiOdie its such a sad situation. Though 1-in-3 of us will be beaten. In US every 15 seconds &amp; 3 killed a day. It's sadly commonplace 
0,and so the editing of 3000 wedding shots begins 
0,Journalist throws shoe at Chidambaram  http://ibnlive.in.com/news/journalist-throws-shoe-at-chidambaram/89666-3.html
0,"starting to resent always being struck by creativity after midnight, then having to get up for work in the morning "
0,What's the best way to eat reheated pizza I keep trying to eat this one but it's too hot and makes my mouth be in pain 
0,Nothing was sick all day it sucked im just up late cant sleep 
0,Even with the best intentions i'm late for work again 
0,"@Linda_James Thank you!! I spent ages on Thursday tidying up, then along came everyone and it looked like a right tip again "
0, Heroes is losing it's momentum ): come on writers pick it up!!!
0,it�s so boring 
0,is back at work...Although I wish I was back in bed... 
0,its sprained!!  so glad im on holidays
0,"Stupid bus was early  I missed it. Stupid thing  Then I missed the bus after that.  Finally got a bus, then missed my second :'( gutz."
0,"@MrNokill @MrNokill problem is they aren't appealing to a wide enough audience, even though they think they may be "
0,@AiyerChitra Yikes! Now i have no clues what to do! 
0,I am engaged to muppet orlando and i just realised oh my god i cant marry Justin Timberlake 
0,gosh it`t 9:39 am and i am soooo tired &quot;yawn&quot; i want to go back to sleep but i can`t 
0,On the train sans Guardian 
0,Made it into DC on Saturday afternoon after 17 hours in air and am now in South FL...jetlag sucks!!  Haven't had a full sleep since Thurs 
0,"I'm at work, and I'm sick.. And its helluva lot todo. This blows. "
0,i am so screwed up! a confused and dumb child!  i NEVER felt so bad all my life! i wish i have any specialty! too bad i have none ='(
0,Went to the doctor's today and my blood sugar level was 178. 
0,gosh...it makes me sad when people don't give God a chance 
0,"@kaylee110 *yawns* i'm pretty good, thanks, awww  i'm sorry to hear that! feel better soon &lt;3"
0,@shelikescute that's so sad 
0,It's 8:40am... I've been awake for nearly 2 hours 
0,can't sleep. I don't like Sonny being gone. 
0,Not drunk at all  @kirstiekalamity
0,finally! updated...oohh I sooo miss the internet {sorry to say that woop2x may not open apr.10}  so how's it goin'??
0,i miss @sebby_peek 
0,"@dadi_iyal and you'll get familiar with twitter pretty soon!!! i'm not coming back this summer, so that means i dont even see you then?! "
0,loves to get drunk... just not by himself 
0,I have a hole in my favourite top. I bought it in the sale before Christmas so I can't even get an exchange  might try fixing it later.
0,"feeling very poorly and sorry for myself. Can't swallow, ow  Stupid glands."
0,@StreetWearBear.  yes I am thanks for reaveling to the world bro fuck my life hahaha
0,@cherrytreerec I can't see anything  Stupid YouTube and their location restrictions. Who's in the Speedo?
0,She now wants an mmmf except I have to only play a supporting role  would mind but the other two guys have huge cocks what am I to do? 
0,Banned from Sims Forums for the rest of the week. Aww    It feels weird. I was only sticking up for Chanel :'(
0,@willadam i treated myself to that latte after the appointment which was horrible. I need to have my wisdom teeth surgically removed 
0,@CelesteChong oh but mine is ceramic so its more ex  abit less visible. inside ones are very ex! double the price n double the duration
0,"Dear Crimestoppers, thankyou for your regular service of our burglar alarm, I'm most grateful for the new 200dB ear-deafening entry tones "
0,"All the fightin and name callin, i can still run 2 my sister!  nite..."
0,sick today  and i have a lot to do at work 
0,Trying to find a tech job. Can't find any entry level jobs any were.  Also just about every job site has more spam now then jobs.
0,4 am insomnia is a BITCH 
0,just threw up all over the bathroom. not fun 
0,off to work 
0,Really hungry and sad that I had to throw my breakfast in the bin 
0,Oh darn...it's mandy creed isnt it @jordar @mikerra 
0,i dont understand.  i didnt mean to break anyones heart. 
0,"Obama is visiting istanbul today, therefore all main roads have been closed  cause and effect !!!"
0,"A lovely day, blazing sunshine.... too bad I have to work "
0,"OMG my girl just woke me up, reason doesnt matter &amp; now I cant fall back to sleep  Gotta b up at 5 so maybe I'll just stay up. **sigh**"
0,"@viennateng Why didn't you tweet that you are in Germany, Heard about the concert in Marburg in the Radio 1 hour before it started. "
0,late night is all re-runs  http://ff.im/1Y02L
0,just getting home...its snowing 
0,@roxy_yeah yep a loser.  
0,and finito! All bathroom contractors been thru the house. Quotes incoming then i need to bite the bullet 
0,@caitlinaudrey awww!  that sucks! are you going to the sydney one?
0,"Sorry, SF. Rescheduling my SF trip for this coming weekend to mid May. Bad circumstances "
0,"2morw  I get my blasted wisdom teeth pulled! Need sleep...cnt stop worryng, I hate needles "
0,"Morning twitterati...... Large coffee and a bath on top of todays list, first appt 10am then loads of desk work. "
0,hitting the gym! afterwards looking forward to rewiring my studio... yet again 
0,doesnt  want to go to work lol 
0,"@SherriGarrity Sorry I missed responding yesterday  Rochester is in MN, so we are not to far from each other! Dark chocolate rocks!"
0,i wanna come with them to bohol!!!! 
0,I have a cold  buee
0,Ate a piece of angel food cake and another Laffy Taffy 
0,"Driving back to La Quinta tomorrow... I should sleep, but I'm oddly wired. "
0,aaaaaaaaaah still cold outside... at least it's sunny! For now that is 
0,is running on low batteries....  http://plurk.com/p/n0blb
0,At shell gas station. lunch break. Tired. 
0,Ready for sleep but having trouble sleeping 
